"filename", "language", "HTML", "Go", "JavaScript", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\configs\errorEtcdClientConfig.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\configs\errorEtcdClientConfig2.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\configs\etcdClientConfig.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\configs\etcdConfig.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\crawler\main.go", "Go", 0, 61, 0, 0, 0, 0, 0, 17, 78
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\crawler\main_test.go", "Go", 0, 16, 0, 0, 0, 0, 0, 7, 23
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\crawlerutil\htmlfilter.go", "Go", 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\crawlerutil\htmlfilter_test.go", "Go", 0, 32, 0, 0, 0, 0, 0, 10, 42
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\crawlerutil\htmlhandler.go", "Go", 0, 68, 0, 0, 0, 0, 0, 16, 84
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\crawlerutil\htmlhandler_test.go", "Go", 0, 78, 0, 0, 0, 0, 3, 31, 112
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\crawlerutil\responsehandler.go", "Go", 0, 50, 0, 0, 0, 0, 3, 13, 66
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\crawlerutil\responsehandler_test.go", "Go", 0, 73, 0, 0, 0, 0, 3, 31, 107
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\crawlerutil\urlfilter.go", "Go", 0, 19, 0, 0, 0, 0, 0, 7, 26
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\crawlerutil\urlfilter_test.go", "Go", 0, 35, 0, 0, 0, 0, 0, 6, 41
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\crawlerutil\urlhandler.go", "Go", 0, 22, 0, 0, 0, 0, 0, 10, 32
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\crawlerutil\urlhandler_test.go", "Go", 0, 46, 0, 0, 0, 0, 2, 9, 57
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\EF\iplat-ui-2.0.js", "JavaScript", 0, 0, 22, 0, 0, 0, 5, 14, 41
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\SJ\assets\images\logo-login.svg", "XML", 0, 0, 0, 0, 79, 0, 1, 3, 83
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\SJ\assets\plugins\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\SJ\assets\plugins\jquery\jquery.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\SJ\css\icons\font-awesome\css\font-awesome.css", "CSS", 0, 0, 0, 2327, 0, 0, 10, 1, 2338
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\SJ\css\login-style.css", "CSS", 0, 0, 0, 8665, 0, 0, 342, 26, 9033
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\SJ\js\sselogin.js", "JavaScript", 0, 0, 96, 0, 0, 0, 4, 31, 131
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\companyallinfo.html", "HTML", 65, 0, 0, 0, 0, 0, 6, 9, 80
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\index.html", "HTML", 285, 0, 0, 0, 0, 0, 15, 71, 371
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\login.js", "JavaScript", 0, 0, 153, 0, 0, 0, 7, 25, 185
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\login.jsp", "HTML", 285, 0, 0, 0, 0, 0, 15, 71, 371
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-SJZX-NQL.html", "HTML", 103, 0, 0, 0, 0, 0, 6, 11, 120
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-SJZX-ZQJSDS.html", "HTML", 75, 0, 0, 0, 0, 0, 6, 10, 91
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-SJZX-hxb.html", "HTML", 100, 0, 0, 0, 0, 0, 7, 10, 117
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-cpjs-BGZL.html", "HTML", 119, 0, 0, 0, 0, 0, 9, 8, 136
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-cpjs-HXJGJR.html", "HTML", 85, 0, 0, 0, 0, 0, 11, 11, 107
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-cpjs-JCDYW.html", "HTML", 78, 0, 0, 0, 0, 0, 8, 8, 94
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-cpjs-JFJGTG.html", "HTML", 246, 0, 0, 0, 0, 0, 10, 7, 263
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-cpjs-PTGZ.html", "HTML", 114, 0, 0, 0, 0, 0, 7, 8, 129
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-cpjs-SSFW.html", "HTML", 106, 0, 0, 0, 0, 0, 12, 11, 129
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-cpjs-WLJR.html", "HTML", 107, 0, 0, 0, 0, 0, 6, 11, 124
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-cpjs-contactus.html", "HTML", 155, 0, 0, 0, 0, 0, 9, 17, 181
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\m.uap.sse.com.cn\app\ezt\public\download.html", "HTML", 338, 0, 0, 0, 0, 0, 1, 17, 356
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\sjsjs.zhaopin.com\index.html", "HTML", 59, 0, 0, 0, 0, 0, 11, 2, 72
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\vip.liepin.com\8684881\main.html", "HTML", 168, 0, 0, 0, 0, 0, 16, 0, 184
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.chinaclear.cn\index.html", "HTML", 868, 0, 0, 0, 0, 0, 30, 274, 1172
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.csrc.gov.cn\index.html", "HTML", 58, 0, 0, 0, 0, 0, 0, 1, 59
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.sac.net.cn\index.html", "HTML", 2031, 0, 0, 0, 0, 0, 412, 163, 2606
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.sse.com.cn\index.html", "HTML", 1046, 0, 0, 0, 0, 0, 42, 128, 1216
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\index.html", "HTML", 1497, 0, 0, 0, 0, 0, 164, 21, 1682
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\DCExchangeDetails\index.html", "HTML", 918, 0, 0, 0, 0, 0, 13, 9, 940
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\LANCircuitDetails\index.html", "HTML", 854, 0, 0, 0, 0, 0, 12, 13, 879
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\WANSharingDetails\index.html", "HTML", 944, 0, 0, 0, 0, 0, 13, 9, 966
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\ZTCloud\index.html", "HTML", 953, 0, 0, 0, 0, 0, 13, 8, 974
